gpu_type,duration,gpu_count,n,mae,mape,smape,mae_naive,skill,pi_coverage,ensemble_w
H100,1 day,8,365,0.0094209670621798,0.6681536923531773,0.6703978765073721,0.003333333333333336,-1.8262901186539375,0.0,0.0
H100,1 day,16,365,0.0094209670621798,0.6681536923531773,0.6703978765073721,0.003333333333333336,-1.8262901186539375,0.0,0.0
H100,1 day,32,365,0.0094209670621798,0.6681536923531773,0.6703978765073721,0.003333333333333336,-1.8262901186539375,0.0,0.0
H100,1 hour,8,365,0.013785719942080036,0.9712722901132373,0.9780091311157374,0.010000000000000009,-0.37857199420800236,0.6666666666666666,0.3107140028959988
H100,1 hour,16,365,0.050206651896564335,3.3347940547335195,3.4488270712188527,0.006666666666666672,-6.530997784484644,0.6666666666666666,0.0
H100,1 hour,32,365,0.045958870359875004,3.022999799085861,3.1463106631786446,0.006666666666666672,-5.893830553981244,0.6666666666666666,0.0
H200,1 hour,32,361,0.07564473720843028,3.7634197616134464,3.864029145801953,0.0,,1.0,0.5
H200,1 hour,16,361,0.06405528748447353,3.2027643742236767,3.2793936682236713,0.0,,1.0,0.5
H200,1 hour,8,361,0.0754834223705576,3.7741711185278803,3.8772767226919713,0.0,,1.0,0.5
H200,1 day,32,361,0.07243946035159661,3.6219730175798306,3.717770902300573,0.0,,1.0,0.5
H200,1 day,16,361,0.0724132908362698,3.6206645418134897,3.718574401044481,0.0,,1.0,0.5
H200,1 day,8,361,0.0715168690324534,3.57584345162267,3.669846300958869,0.0,,1.0,0.5
